Province,City,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index
Sichuan,Mianyang,2023-11-01,24.29,6.92,7.96,399.75,0.06,1.66,0.02,0.75,0.139,3.25,20.44,2.55,3.31,0.43,0.12,127.0,58.333333333333336
Beijing,Beijing,2023-01-26,21.12,7.01,8.2,422.7,17.42,3.14,0.024,0.41,0.193,3.6,29.08,3.89,6.95,0.21,0.14,90.0,51.666666666666664
Zhejiang,Hangzhou,2023-06-26,16.2,7.08,8.68,687.62,1.85,2.29,0.03,0.65,0.174,3.35,19.34,3.93,4.44,0.56,0.05,111.0,61.666666666666664
Sichuan,Mianyang,2023-04-18,12.03,6.7,8.01,504.7,7.33,1.84,0.004,0.23,0.127,3.53,27.71,3.17,4.39,0.55,0.2,108.0,55.0
Guangdong,Guangzhou,2023-07-07,30.3,7.88,7.5,597.16,0.72,2.74,0.029,0.41,0.083,2.13,27.22,4.89,4.73,0.54,-0.01,109.0,58.556999999999995
Guangdong,Shenzhen,2023-12-03,11.48,6.97,8.77,496.73,3.39,2.56,0.006,0.48,0.096,2.45,22.44,4.75,4.42,0.91,0.08,89.0,56.666666666666664
Henan,Zhengzhou,2023-09-25,17.35,6.6,7.79,396.48,1.16,2.03,-0.003,0.48,0.102,3.26,26.02,4.85,3.76,0.35,0.13,91.0,58.05583333333333
Hubei,Yichang,2023-08-05,12.42,7.68,11.29,475.1,0.19,2.43,0.01,0.51,0.148,2.51,20.4,5.52,0.09,0.34,0.05,96.0,69.11200000000001
Guangdong,Guangzhou,2023-06-05,16.77,6.46,11.37,588.16,7.78,1.56,0.02,0.97,0.151,2.78,27.91,3.61,3.66,0.78,0.03,102.0,54.334
Yunnan,Dali,2023-01-12,13.01,8.008000000000001,6.7,496.41900000000004,1.1330000000000002,1.7490000000000003,0.0165,-0.0,0.14740000000000003,3.5200000000000005,21.538,4.664000000000001,6.105,0.396,0.07700000000000001,112.2,59.86846666666667
Zhejiang,Ningbo,2023-10-25,16.69,7.29,6.47,319.51,3.54,1.77,0.017,0.2,0.14,2.43,21.34,6.78,1.78,0.47,0.08,87.0,60.0
Beijing,Beijing,2023-05-02,25.03,6.71,9.67,387.03,7.14,1.64,0.044,0.15,0.048,3.08,20.45,4.49,8.16,0.48,0.11,109.0,55.0
Sichuan,Chengdu,2023-11-13,21.97,7.469,8.58,778.294,2.4420000000000006,2.0460000000000003,0.031900000000000005,0.49500000000000005,0.18150000000000002,2.9260000000000006,9.735000000000001,5.555000000000001,3.6410000000000005,0.198,0.11000000000000001,126.50000000000001,61.36419166666667
Yunnan,Kunming,2023-07-23,21.18,7.39,5.04,614.38,0.75,2.25,0.032,0.69,0.104,2.76,22.02,2.91,3.37,0.8,0.12,113.0,56.583416666666665
Henan,Luoyang,2023-02-26,18.65,7.1610000000000005,7.11,591.503,1.4300000000000002,2.728,0.033,0.8580000000000001,0.165,2.3980000000000006,23.54,3.234,4.367000000000001,0.5830000000000001,0.15400000000000003,106.7,55.0
Shandong,Qingdao,2023-10-30,21.4,6.44,12.89,512.92,0.09,2.89,0.026,0.54,0.122,3.13,14.3,2.66,8.77,0.54,0.11,118.0,64.2785
Shanghai,Shanghai,2023-01-24,20.28,7.55,4.62,652.96,0.28,2.54,0.014,0.67,-0.016,2.89,23.14,5.27,3.36,0.2,0.09,99.0,61.13941666666667
Jiangsu,Suzhou,2023-04-02,6.52,6.97,7.54,569.62,4.34,1.49,0.025,0.34,0.092,3.0,20.79,3.32,5.3,0.34,0.13,115.0,58.333333333333336
Jiangsu,Nanjing,2023-12-15,19.84,7.403000000000001,6.57,561.7040000000001,8.217,2.959,-0.007700000000000001,0.08800000000000001,0.041800000000000004,2.6510000000000002,23.122,4.719,4.939000000000001,0.517,0.14300000000000002,102.30000000000001,49.880675
Beijing,Beijing,2023-08-20,24.68,7.64,9.44,387.09,0.1,2.05,0.019,0.6,0.047,2.82,18.85,4.81,3.12,0.55,0.11,97.0,64.223
Shanghai,Shanghai,2023-12-24,22.97,6.85,8.65,374.89,2.74,1.38,0.012,0.76,0.012,3.38,12.93,5.25,0.66,0.15,0.07,122.0,68.33333333333333
Sichuan,Mianyang,2023-07-11,19.81,7.55,8.23,515.03,2.77,3.08,0.027,0.38,0.079,2.36,20.5,2.37,6.1,0.9,0.14,111.0,54.47275
Guangdong,Guangzhou,2023-06-14,21.28,7.49,11.33,601.44,0.96,1.92,0.028,0.58,-0.018,2.83,20.99,2.57,6.16,0.2,0.06,96.0,71.30591666666668
Sichuan,Mianyang,2023-06-09,15.25,8.32,8.99,518.48,6.59,2.3,0.005,0.5,0.067,2.16,24.94,3.65,5.49,0.54,0.08,100.0,55.669333333333334
Shanghai,Shanghai,2023-07-14,23.54,6.72,9.26,597.26,1.59,1.12,0.031,0.24,0.089,3.53,20.6,4.82,6.24,0.76,0.15,112.0,55.0
Shandong,Jinan,2023-12-30,22.15,7.1,8.54,372.33,12.35,2.22,0.018,0.73,0.096,2.77,24.43,2.59,6.0,0.29,0.16,107.0,53.333333333333336
Hubei,Wuhan,2023-10-07,27.23,7.8100000000000005,10.06,386.584,11.946,1.4630000000000003,0.0286,0.7040000000000001,0.11220000000000001,3.971,18.238,3.8390000000000004,0.033,0.7480000000000001,0.132,107.80000000000001,57.084583333333335
Zhejiang,Ningbo,2023-09-29,17.9,6.86,5.31,408.13,1.76,1.03,0.008,0.29,0.134,2.92,15.87,6.31,3.67,0.73,0.18,100.0,56.666666666666664
Beijing,Beijing,2023-10-11,16.88,6.72,6.73,618.9,0.3,1.81,0.008,0.66,0.152,3.17,18.12,3.29,3.59,0.97,0.15,102.0,58.333333333333336
Shanghai,Shanghai,2023-03-22,16.94,6.81,8.57,533.45,5.32,1.57,0.021,0.15,0.037,3.44,15.25,3.16,4.98,0.64,0.05,82.0,68.33333333333333
Shanghai,Shanghai,2023-07-09,32.63,6.73,7.02,604.42,5.67,1.18,0.025,0.55,0.115,3.47,22.11,4.41,6.43,0.6,0.14,105.0,53.333333333333336
Yunnan,Dali,2023-07-23,19.16,7.777000000000001,10.41,460.141,0.9680000000000001,2.431,0.026400000000000003,0.49500000000000005,0.11000000000000001,3.7510000000000003,13.805000000000001,4.422,5.698,0.7150000000000001,0.033,111.10000000000001,63.842825
Shandong,Qingdao,2023-04-08,21.25,7.79,7.81,527.9,5.01,2.09,0.024,0.46,0.08,2.82,20.87,2.19,6.93,0.4,0.11,87.0,60.47341666666667
Guangdong,Shenzhen,2023-06-08,27.83,6.97,6.89,688.12,1.6,1.39,0.018,0.63,0.149,3.56,26.55,3.78,2.71,0.48,0.13,104.0,56.666666666666664
Guangdong,Shenzhen,2023-10-05,19.77,7.12,7.52,535.21,1.2,2.04,0.018,0.69,0.083,3.25,19.86,4.27,4.54,0.64,0.14,112.0,55.0
Zhejiang,Ningbo,2023-11-22,20.98,7.35,7.82,644.01,0.62,2.19,0.012,0.23,0.084,2.63,19.93,2.41,6.13,0.37,0.15,99.0,66.66666666666667
Jiangsu,Nanjing,2023-02-18,17.74,6.369000000000001,4.83,633.644,6.534000000000001,2.4090000000000003,0.027500000000000004,0.55,0.0781,3.1570000000000005,19.778000000000002,7.040000000000001,5.445,0.66,0.20900000000000002,110.00000000000001,45.74814166666667
Yunnan,Dali,2023-01-19,14.99,7.546000000000001,11.6,620.488,8.866000000000001,1.9250000000000003,0.0176,0.6160000000000001,0.066,4.301,23.969,4.829,6.996000000000001,0.41800000000000004,0.165,121.00000000000001,47.81718333333333
Beijing,Beijing,2023-01-21,26.59,7.1,12.15,431.08,3.74,1.82,0.022,0.29,0.074,3.31,25.65,6.97,4.81,0.31,0.14,104.0,56.666666666666664
Zhejiang,Hangzhou,2023-06-11,18.71,6.17,8.8,564.72,6.79,1.07,0.011,0.19,0.2,2.95,28.9,2.37,3.85,0.66,0.11,91.0,61.86258333333333
Shanghai,Shanghai,2023-02-17,16.87,7.2,8.99,526.07,0.99,2.16,0.017,0.17,0.097,2.92,25.31,1.77,5.47,0.27,0.12,97.0,66.66666666666667
Shanghai,Shanghai,2023-08-14,13.53,7.58,7.06,534.65,17.5,1.22,0.017,0.08,0.113,2.87,26.17,4.65,2.22,0.33,0.13,89.0,57.722833333333334
Shanghai,Shanghai,2023-07-12,18.39,8.04,8.76,543.0,4.4,1.85,0.024,0.43,0.072,3.02,16.56,3.87,2.93,0.46,0.12,100.0,59.779666666666664
Yunnan,Dali,2023-07-29,24.58,7.8870000000000005,10.0,231.407,3.696,1.7160000000000002,0.026400000000000003,0.341,0.14520000000000002,3.4540000000000006,18.425,5.577000000000001,5.1370000000000005,0.671,0.05500000000000001,115.50000000000001,55.20424166666667
Zhejiang,Hangzhou,2023-12-27,21.01,7.53,10.21,618.7,1.21,1.46,0.036,0.35,0.115,3.5,18.74,4.34,7.87,0.61,0.12,97.0,61.194916666666664
Shandong,Jinan,2023-11-20,22.99,7.35,7.4,637.57,8.51,2.06,0.01,0.24,0.018,2.56,27.76,2.45,4.39,0.24,0.07,82.0,63.333333333333336
Yunnan,Kunming,2023-12-26,16.56,8.13,9.96,467.52,3.66,1.77,0.02,0.27,0.023,3.72,10.88,6.33,6.45,0.64,0.13,115.0,56.19658333333333
Yunnan,Dali,2023-04-14,16.23,7.546000000000001,4.61,539.187,1.848,2.7390000000000003,0.015400000000000002,0.132,0.132,4.136,26.257,3.74,2.0130000000000003,0.517,0.099,115.50000000000001,56.15051666666667
Sichuan,Mianyang,2023-04-03,16.99,7.16,4.81,544.05,16.47,2.7,0.019,0.38,0.103,3.24,20.7,5.21,5.77,0.44,0.12,91.0,48.333333333333336
Beijing,Beijing,2023-02-28,13.78,6.65,6.56,589.49,8.65,2.91,0.012,0.55,0.061,4.11,13.81,4.52,3.53,0.43,0.12,84.0,54.861250000000005
Shandong,Qingdao,2023-09-07,24.82,8.11,6.89,363.02,4.51,2.16,0.02,0.58,0.061,2.28,10.43,4.98,7.21,0.56,0.07,102.0,52.91875000000001
Shandong,Qingdao,2023-06-18,17.09,6.49,6.7,377.61,0.36,1.62,0.02,0.38,0.135,3.52,20.54,4.46,9.24,0.27,0.04,105.0,61.083916666666674
Shanghai,Shanghai,2023-08-21,16.47,6.97,9.12,507.6,0.96,1.5,0.026,0.32,0.104,3.79,18.47,5.31,2.57,0.39,0.03,118.0,70.0
Jiangsu,Nanjing,2023-07-08,31.6,7.920000000000001,8.38,515.999,0.7480000000000001,2.475,0.0286,0.319,0.06160000000000001,2.915,20.691,4.4990000000000006,7.062,0.36300000000000004,0.022000000000000002,107.80000000000001,60.11266666666666
Sichuan,Chengdu,2023-11-27,19.97,8.162,8.16,539.1210000000001,2.64,2.508,0.0286,0.44000000000000006,0.0968,2.6510000000000002,20.053,3.2560000000000002,8.393,0.561,0.12100000000000001,122.10000000000001,51.10778333333334
Hubei,Wuhan,2023-02-15,19.87,8.151000000000002,10.78,611.3580000000001,1.056,0.8140000000000001,0.023100000000000002,0.47300000000000003,0.05500000000000001,3.575,22.297,2.4200000000000004,4.081,-0.08800000000000001,0.12100000000000001,93.50000000000001,71.13830833333333
Zhejiang,Hangzhou,2023-06-11,27.65,7.61,7.57,649.07,0.3,1.72,0.016,0.43,0.065,3.15,16.86,4.02,3.54,0.19,0.15,104.0,62.63958333333333
Hubei,Yichang,2023-05-01,13.17,6.89,5.66,319.8,8.79,2.44,0.028,0.49,0.091,2.8,19.92,4.86,3.41,0.52,0.04,91.0,55.0
Shanghai,Shanghai,2023-10-04,19.92,7.29,8.24,402.69,3.03,1.4,0.02,0.73,0.057,1.85,17.78,3.13,0.45,0.56,0.11,94.0,68.33333333333333
Sichuan,Chengdu,2023-04-13,23.39,7.436,12.31,483.37300000000005,5.918,2.3540000000000005,0.030800000000000004,0.40700000000000003,0.1188,2.64,22.341,4.4990000000000006,9.284,0.49500000000000005,0.11000000000000001,91.30000000000001,56.45576666666667
Jiangsu,Nanjing,2023-03-03,13.26,7.1610000000000005,10.4,477.74100000000004,5.9510000000000005,1.9470000000000003,0.0176,0.6160000000000001,0.07150000000000001,2.871,26.84,5.071000000000001,8.382000000000001,0.275,0.07700000000000001,94.60000000000001,55.0
Sichuan,Chengdu,2023-07-08,22.28,8.888000000000002,6.71,652.058,21.505000000000003,3.003,0.041800000000000004,0.7150000000000001,0.14300000000000002,2.827,23.980000000000004,5.016,5.038,0.41800000000000004,0.044000000000000004,107.80000000000001,45.75979999999999
Henan,Luoyang,2023-05-05,18.89,7.546000000000001,8.61,639.7270000000001,1.848,2.365,0.025300000000000003,0.7370000000000001,0.0649,3.971,21.230000000000004,5.3790000000000004,7.117,0.319,0.14300000000000002,132.0,49.48385
Yunnan,Dali,2023-03-14,22.0,7.337000000000001,6.94,614.504,3.8720000000000003,2.475,0.0297,1.056,0.16940000000000002,2.255,22.429000000000002,6.391,6.875000000000001,0.627,0.165,118.80000000000001,43.333333333333336
Henan,Luoyang,2023-08-15,18.95,7.227000000000001,6.84,614.7460000000001,4.455,2.596,0.0374,0.44000000000000006,0.0484,3.4540000000000006,29.997000000000003,2.805,3.0690000000000004,0.451,0.066,105.60000000000001,55.0
Shandong,Jinan,2023-07-25,21.12,7.47,5.16,323.92,5.95,2.58,0.014,0.54,0.058,4.11,18.52,4.13,3.62,0.87,0.19,103.0,49.69475
Shandong,Qingdao,2023-04-27,23.89,6.72,6.36,499.66,0.3,2.56,0.014,0.69,0.134,1.61,24.0,3.57,3.23,0.33,0.09,91.0,61.666666666666664
Shanghai,Shanghai,2023-06-10,14.88,7.93,10.44,558.21,0.63,2.57,0.017,0.74,0.003,2.37,21.74,2.59,2.65,0.39,0.14,100.0,65.08491666666667
Jiangsu,Nanjing,2023-03-26,17.67,6.820000000000001,9.03,491.4030000000001,3.3660000000000005,1.584,0.020900000000000002,0.5940000000000001,0.08910000000000001,1.7160000000000002,21.12,5.390000000000001,7.216,0.627,0.05500000000000001,95.7,56.666666666666664
Guangdong,Guangzhou,2023-01-26,19.5,6.9,6.24,417.31,11.84,1.58,0.011,0.44,0.178,2.74,19.93,4.1,2.74,0.15,0.05,115.0,65.0
Yunnan,Dali,2023-04-08,20.33,7.986000000000001,4.87,491.79900000000004,7.216,1.584,0.0286,0.25300000000000006,0.2431,3.3440000000000003,23.914,3.5090000000000003,4.807,0.451,0.07700000000000001,101.2,54.929516666666665
Sichuan,Chengdu,2023-01-23,14.92,7.7330000000000005,8.86,626.241,0.385,2.4090000000000003,0.041800000000000004,0.528,0.0649,2.607,21.681,3.9050000000000002,9.922,0.935,0.05500000000000001,111.10000000000001,55.63159166666666
Jiangsu,Nanjing,2023-08-23,19.09,8.459000000000001,6.71,462.088,0.9900000000000001,2.8380000000000005,0.013200000000000002,0.231,0.1155,3.102,24.816,4.752000000000001,5.434000000000001,0.539,0.066,127.60000000000001,53.61694166666666
Shandong,Qingdao,2023-06-08,21.49,6.62,7.15,614.84,7.47,1.08,0.022,0.57,0.168,3.59,22.68,4.77,4.62,0.26,0.11,106.0,56.44466666666667
Henan,Zhengzhou,2023-07-06,18.33,6.8,6.09,542.36,2.9,1.63,0.022,0.54,0.112,3.26,20.03,4.27,4.91,0.73,0.17,89.0,55.0
Zhejiang,Hangzhou,2023-06-13,25.94,8.29,9.16,532.58,0.41,1.6,0.026,0.55,0.115,3.9,21.75,3.7,1.09,0.47,0.17,96.0,62.419250000000005
Shandong,Jinan,2023-04-19,15.0,6.75,9.68,554.67,0.53,1.72,0.016,0.37,-0.001,3.38,26.29,2.48,7.49,0.48,0.16,87.0,61.666666666666664
Zhejiang,Ningbo,2023-02-24,17.68,7.1,8.57,474.11,1.29,1.75,0.028,0.78,0.151,2.03,20.63,5.03,2.37,0.64,0.13,105.0,56.666666666666664
Yunnan,Dali,2023-01-21,23.36,8.745000000000001,7.73,442.80500000000006,3.3880000000000003,2.277,0.034100000000000005,0.6050000000000001,0.10670000000000002,3.2010000000000005,16.819,4.158,6.424,0.451,0.15400000000000003,127.60000000000001,47.82329166666667
Beijing,Beijing,2023-07-21,15.32,7.54,6.93,580.81,10.31,2.17,0.014,0.32,0.105,2.06,18.52,2.39,6.56,0.71,0.06,112.0,56.167166666666674
Sichuan,Chengdu,2023-05-22,19.48,7.612,8.14,677.8090000000001,0.36300000000000004,2.387,0.0352,0.6050000000000001,0.14520000000000002,3.6630000000000003,36.784,2.4090000000000003,3.9820000000000007,0.8690000000000001,0.08800000000000001,113.30000000000001,60.96736666666667
Zhejiang,Hangzhou,2023-12-26,28.06,7.66,11.28,574.21,1.36,1.52,0.02,0.45,-0.02,3.21,20.72,5.48,6.22,0.96,0.11,82.0,62.50083333333333
Hubei,Wuhan,2023-11-29,16.94,7.678000000000001,7.14,473.836,19.569,2.079,-0.0011,0.649,0.041800000000000004,2.805,18.315,4.18,5.511,0.792,0.07700000000000001,112.2,50.78421666666666
Beijing,Beijing,2023-07-19,19.2,7.34,8.43,424.8,0.6,2.05,-0.002,0.5,0.154,2.8,16.74,2.62,1.28,0.67,0.09,106.0,66.66666666666667
Zhejiang,Hangzhou,2023-10-07,17.58,7.07,11.22,589.68,0.61,1.58,-0.002,0.32,0.085,3.76,17.55,4.51,4.66,0.75,0.16,96.0,63.333333333333336
Shanghai,Shanghai,2023-04-20,23.54,7.12,9.91,528.71,6.44,2.03,0.013,0.16,0.068,4.34,17.57,2.04,6.47,0.67,0.16,112.0,58.333333333333336
Yunnan,Dali,2023-01-13,14.03,8.206000000000001,10.0,476.23400000000004,3.2560000000000002,2.4859999999999998,0.027500000000000004,0.15400000000000003,0.07150000000000001,2.2880000000000003,28.446,6.149,7.216,0.33,0.18700000000000003,97.9,52.65234999999999
Hubei,Wuhan,2023-10-10,18.46,8.129,10.62,703.5270000000002,2.2880000000000003,2.112,0.0143,0.792,0.04510000000000001,2.4090000000000003,28.996000000000002,6.479,4.488,0.539,0.044000000000000004,139.70000000000002,54.532691666666665
Yunnan,Kunming,2023-03-11,19.56,6.81,7.48,659.86,1.71,1.95,0.022,0.55,0.145,2.23,12.57,4.53,0.92,0.54,0.04,101.0,65.0
Shandong,Qingdao,2023-02-15,10.99,6.73,6.42,437.92,0.3,1.37,0.011,0.51,0.125,3.48,10.88,3.83,2.78,0.46,0.22,114.0,65.0
Yunnan,Kunming,2023-03-28,13.85,7.25,7.07,489.41,3.23,1.24,0.022,0.55,0.188,2.82,21.4,3.33,6.75,0.48,0.04,113.0,61.666666666666664
Beijing,Beijing,2023-11-02,15.47,6.67,6.81,637.44,3.58,3.36,0.017,0.74,0.083,3.21,27.46,5.17,4.59,0.47,0.15,100.0,46.583416666666665
Beijing,Beijing,2023-09-05,19.91,6.81,10.25,594.75,5.9,1.8,0.013,0.73,0.073,2.55,16.58,3.46,6.71,0.6,0.14,88.0,58.333333333333336
Beijing,Beijing,2023-03-21,25.94,7.35,8.7,607.02,0.46,1.59,0.02,0.17,0.018,2.9,17.26,4.11,4.73,0.51,0.13,94.0,70.0
Sichuan,Chengdu,2023-07-27,23.3,8.217,4.78,466.10300000000007,1.4520000000000002,2.684,0.015400000000000002,0.517,0.14850000000000002,3.146,25.487000000000005,2.706,5.203000000000001,0.5720000000000001,0.11000000000000001,113.30000000000001,50.95515833333334
Hubei,Wuhan,2023-03-29,4.9,7.799,11.6,686.279,0.40700000000000003,1.595,0.030800000000000004,0.7370000000000001,0.1408,3.4320000000000004,29.535000000000004,3.124,5.643000000000001,0.385,0.15400000000000003,110.00000000000001,60.44844166666667
Hubei,Yichang,2023-05-23,17.38,7.08,6.36,612.1,0.0,1.69,0.02,0.69,0.048,2.57,25.63,3.73,3.44,0.65,0.08,94.0,58.333333333333336
Shanghai,Shanghai,2023-08-12,24.25,6.93,8.78,489.68,0.47,1.97,0.04,0.81,0.034,3.26,15.92,4.19,5.14,0.29,0.15,85.0,63.333333333333336
Yunnan,Kunming,2023-04-28,19.3,6.77,8.0,560.12,2.83,1.28,0.018,0.22,0.029,3.62,18.4,3.6,5.97,0.43,0.21,114.0,61.666666666666664
Jiangsu,Suzhou,2023-12-13,12.23,7.41,8.75,409.79,6.71,2.54,0.006,0.81,0.062,3.1,19.26,3.12,2.17,0.15,0.11,111.0,63.194583333333334
Zhejiang,Ningbo,2023-06-30,18.86,6.5,2.88,480.9,3.79,1.96,0.02,0.61,0.098,4.01,21.08,5.05,3.55,0.52,0.18,110.0,46.11166666666666
Sichuan,Chengdu,2023-02-27,20.51,8.547,5.52,388.57500000000005,0.011000000000000001,2.7390000000000003,0.006600000000000001,0.6930000000000001,0.14740000000000003,2.0460000000000003,16.852,3.9600000000000004,5.104,0.385,0.066,108.9,55.039408333333334
Shanghai,Shanghai,2023-04-28,20.1,7.12,5.48,438.36,1.09,2.17,0.01,0.58,0.171,3.16,18.15,2.7,8.16,0.27,0.14,95.0,58.333333333333336
Henan,Luoyang,2023-04-13,24.94,7.656000000000001,7.36,566.698,0.8800000000000001,1.606,0.0198,0.561,0.14190000000000003,3.3000000000000003,13.057,3.8170000000000006,5.995000000000001,0.7370000000000001,0.07700000000000001,108.9,60.84526666666667
Shandong,Qingdao,2023-07-15,12.88,6.87,7.14,558.86,16.17,2.02,0.023,0.42,0.019,2.64,20.79,4.16,5.08,0.61,0.07,126.0,51.666666666666664
Zhejiang,Ningbo,2023-05-06,16.79,7.24,11.61,480.91,1.42,2.7,0.032,0.55,0.04,3.0,27.81,4.62,4.59,0.63,0.04,91.0,61.666666666666664
Guangdong,Shenzhen,2023-03-30,17.65,7.13,7.13,493.39,3.28,1.6,0.023,0.35,0.022,2.33,11.98,4.25,5.3,0.52,0.13,96.0,63.333333333333336
Henan,Zhengzhou,2023-01-28,10.15,7.45,5.58,573.08,1.06,1.24,0.02,0.54,0.091,2.23,29.92,4.55,10.27,0.34,0.15,96.0,53.08358333333333
Jiangsu,Nanjing,2023-07-26,19.05,8.206000000000001,7.74,716.2320000000001,3.7840000000000003,2.4200000000000004,0.007700000000000001,0.42900000000000005,0.0539,3.102,24.442,4.4110000000000005,7.062,0.8250000000000001,0.08800000000000001,122.10000000000001,45.98568333333333
Sichuan,Chengdu,2023-03-11,23.4,8.36,4.44,585.167,3.047,2.5850000000000004,-0.006600000000000001,0.385,0.0539,2.7390000000000003,17.875,5.742,7.304,0.49500000000000005,0.17600000000000002,103.4,45.55833333333334
Hubei,Yichang,2023-01-21,17.68,7.23,9.57,474.85,8.22,2.73,0.003,0.38,0.111,3.9,21.92,4.48,3.86,0.61,0.11,75.0,56.666666666666664
Beijing,Beijing,2023-11-21,25.26,6.5,7.23,525.02,3.61,0.85,0.022,0.72,0.15,3.41,19.63,5.09,6.85,0.42,0.13,110.0,52.77833333333333
Henan,Zhengzhou,2023-03-06,22.2,7.39,8.92,667.45,14.7,0.8,0.019,0.59,0.073,2.64,27.22,3.94,5.91,0.65,0.05,110.0,56.583416666666665
Yunnan,Kunming,2023-09-23,20.04,6.67,9.4,542.1,0.99,2.12,0.034,0.3,0.086,2.44,14.94,4.38,6.62,0.37,0.14,104.0,64.91675
